Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
"[0.2, 0.2, 'Decision Tree', 'None', 'None', 'None', 0.9423076923076923, 0.4, 0.6139406135149205, 0.47058823529411764, 0.5714285714285714, 0.8548387096774194, 0.6711538461538461, '[[49  3]\n [ 6  4]]']"
"[0.2, 0.2, 'SVM', 'None', 'None', 'None', 0.9807692307692307, 0.8, 0.8857851797221404, 0.8421052631578948, 0.8888888888888888, 0.9516129032258065, 0.8903846153846153, '[[51  1]\n [ 2  8]]']"
"[0.2, 0.2, 'CNN', 'None', 'None', 'None', 0.9807692307692307, 0.9, 0.9395170608841054, 0.9, 0.9, 0.967741935483871, 0.9403846153846153, '[[51  1]\n [ 1  9]]']"
0.2,0.2,WSVM,None,10,None,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,WSVM,None,100,None,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,ADABoost.DecisionTree,10,None,None,0.9615384615384616,0.6,0.7595545253127499,0.6666666666666665,0.75,0.9032258064516129,0.7807692307692308,"[[50  2]
 [ 4  6]]"
0.2,0.2,ADABoost.SVM,10,None,None,0.9615384615384616,0.9,0.9302605094190635,0.8571428571428572,0.8181818181818182,0.9516129032258065,0.9307692307692308,"[[50  2]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,10,10,None,0.9230769230769231,0.9,0.9114654303753,0.7826086956521738,0.6923076923076923,0.9193548387096774,0.9115384615384615,"[[48  4]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,10,100,None,1.0,0.8,0.8944271909999159,0.888888888888889,1.0,0.967741935483871,0.9,"[[52  0]
 [ 2  8]]"
0.2,0.2,ADABoost.DecisionTree,20,None,None,0.9807692307692307,0.5,0.7002746713858894,0.625,0.8333333333333334,0.9032258064516129,0.7403846153846153,"[[51  1]
 [ 5  5]]"
0.2,0.2,ADABoost.SVM,20,None,None,0.9615384615384616,0.9,0.9302605094190635,0.8571428571428572,0.8181818181818182,0.9516129032258065,0.9307692307692308,"[[50  2]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,20,10,None,0.9230769230769231,0.9,0.9114654303753,0.7826086956521738,0.6923076923076923,0.9193548387096774,0.9115384615384615,"[[48  4]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,20,100,None,1.0,0.8,0.8944271909999159,0.888888888888889,1.0,0.967741935483871,0.9,"[[52  0]
 [ 2  8]]"
