Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,0.2,Im.ADABoost.SVM.1,20,10,0.3,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.2,20,10,0.3,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.12,20,10,0.3,0.038461538461538464,0.2,0.08770580193070292,0.06451612903225806,0.038461538461538464,0.06451612903225806,0.11923076923076922,"[[ 2 50]
 [ 8  2]]"
0.2,0.2,Im.ADABoost.W-SVM.1,20,10,0.3,0.8076923076923077,1.0,0.8987170342729172,0.6666666666666666,0.5,0.8387096774193549,0.9038461538461539,"[[42 10]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.W-SVM.2,20,10,0.3,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.12,20,10,0.3,0.5192307692307693,1.0,0.7205766921228921,0.4444444444444445,0.2857142857142857,0.5967741935483871,0.7596153846153846,"[[27 25]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.SVM.1,20,10,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.2,20,10,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.12,20,10,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.1,20,10,0.5,0.7884615384615384,1.0,0.8879535677396304,0.6451612903225806,0.47619047619047616,0.8225806451612904,0.8942307692307692,"[[41 11]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.W-SVM.2,20,10,0.5,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.12,20,10,0.5,0.7115384615384616,1.0,0.8435273922869734,0.5714285714285715,0.4,0.7580645161290323,0.8557692307692308,"[[37 15]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.SVM.1,20,100,0.3,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.2,20,100,0.3,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.12,20,100,0.3,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.1,20,100,0.3,0.8846153846153846,1.0,0.9405399431259602,0.7692307692307693,0.625,0.9032258064516129,0.9423076923076923,"[[46  6]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.W-SVM.2,20,100,0.3,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.12,20,100,0.3,0.8846153846153846,1.0,0.9405399431259602,0.7692307692307693,0.625,0.9032258064516129,0.9423076923076923,"[[46  6]
 [ 0 10]]"
0.2,0.2,Im.ADABoost.SVM.1,20,100,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.2,20,100,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.SVM.12,20,100,0.5,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.1,20,100,0.5,0.9038461538461539,0.9,0.9019210267321294,0.75,0.6428571428571429,0.9032258064516129,0.9019230769230768,"[[47  5]
 [ 1  9]]"
0.2,0.2,Im.ADABoost.W-SVM.2,20,100,0.5,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,Im.ADABoost.W-SVM.12,20,100,0.5,0.8846153846153846,0.9,0.8922745351929786,0.7200000000000001,0.6,0.8870967741935484,0.8923076923076922,"[[46  6]
 [ 1  9]]"
