Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[750   0]
 [ 15   0]]"
0.3,0.04,CNN,None,None,None,1.0,0.1,0.31622776601683794,0.18181818181818182,1.0,0.9653846153846154,0.55,"[[750   0]
 [ 27   3]]"
0.3,0.06,CNN,None,None,None,0.984,0.3111111111111111,0.5532931712332381,0.39436619718309857,0.5384615384615384,0.9459119496855346,0.6475555555555556,"[[738  12]
 [ 31  14]]"
0.3,0.08,CNN,None,None,None,0.988,0.2833333333333333,0.5290872643839892,0.39534883720930236,0.6538461538461539,0.9358024691358025,0.6356666666666666,"[[741   9]
 [ 43  17]]"
0.3,0.1,CNN,None,None,None,0.9666666666666667,0.44,0.6521758454077653,0.49624060150375937,0.5689655172413793,0.9187878787878788,0.7033333333333333,"[[725  25]
 [ 42  33]]"
0.3,0.15,CNN,None,None,None,0.996,0.25663716814159293,0.5055794887740469,0.4,0.90625,0.899188876013905,0.6263185840707964,"[[747   3]
 [ 84  29]]"
0.3,0.2,CNN,None,None,None,0.9626666666666667,0.4866666666666667,0.6844689750293856,0.5816733067729084,0.7227722772277227,0.8833333333333333,0.7246666666666668,"[[722  28]
 [ 77  73]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[750   0]
 [ 15   0]]"
0.3,0.04,CNN,None,None,None,1.0,0.06666666666666667,0.2581988897471611,0.125,1.0,0.9641025641025641,0.5333333333333333,"[[750   0]
 [ 28   2]]"
0.3,0.06,CNN,None,None,None,0.9986666666666667,0.37777777777777777,0.614226402944447,0.5396825396825397,0.9444444444444444,0.9635220125786164,0.6882222222222222,"[[749   1]
 [ 28  17]]"
0.3,0.08,CNN,None,None,None,0.9946666666666667,0.2833333333333333,0.5308693080431588,0.419753086419753,0.8095238095238095,0.9419753086419753,0.6389999999999999,"[[746   4]
 [ 43  17]]"
0.3,0.1,CNN,None,None,None,0.9986666666666667,0.18666666666666668,0.4317612508988941,0.31111111111111106,0.9333333333333333,0.9248484848484848,0.5926666666666668,"[[749   1]
 [ 61  14]]"
0.3,0.15,CNN,None,None,None,0.9773333333333334,0.4247787610619469,0.6443216917641964,0.5393258426966292,0.7384615384615385,0.9049826187717266,0.7010560471976401,"[[733  17]
 [ 65  48]]"
0.3,0.2,CNN,None,None,None,0.956,0.5733333333333334,0.7403422631909289,0.6394052044609666,0.7226890756302521,0.8922222222222222,0.7646666666666666,"[[717  33]
 [ 64  86]]"
